player_id,player_slug,tm_season_id,season_label,summary_row_text,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6,metric_7,metric_8,metric_9,metric_10,minutes_est,appearances_est
1091430,joao-vitor,2021,21/22,Total 21/22: | Total 21/22: | nan | 3 | - | - | - | - | - | 151',Total 21/22:,nan,3,-,-,-,-,-,151',,151.0,3.0
1091430,joao-vitor,2020,20/21,Total 20/21: | Total 20/21: | nan | 4 | - | - | 2 | - | - | 83',Total 20/21:,nan,4,-,-,2,-,-,83',,83.0,4.0
1091430,joao-vitor,2019,19/20,Total 19/20: | Total 19/20: | nan | 3 | - | - | - | - | - | 34',Total 19/20:,nan,3,-,-,-,-,-,34',,34.0,3.0
866897,mateusinho,2022,22/23,Total 22/23: | Total 22/23: | nan | 6 | - | 1 | 1 | - | - | 409',Total 22/23:,nan,6,-,1,1,-,-,409',,409.0,6.0
866897,mateusinho,2020,20/21,Total 20/21: | Total 20/21: | nan | 21 | - | 2 | - | - | - | 1.199',Total 20/21:,nan,21,-,2,-,-,-,1.199',,1199.0,21.0
866897,mateusinho,2019,19/20,Total 19/20: | Total 19/20: | nan | 3 | - | 1 | - | - | - | 249',Total 19/20:,nan,3,-,1,-,-,-,249',,249.0,3.0
866910,igor,2024,24/25,Total 24/25: | Total 24/25: | nan | 10 | - | - | 1 | - | - | 256',Total 24/25:,nan,10,-,-,1,-,-,256',,256.0,10.0
866910,igor,2023,23/24,Total 23/24: | Total 23/24: | nan | - | - | - | - | - | - | -,Total 23/24:,nan,-,-,-,-,-,-,-,,,
866910,igor,2022,22/23,Total 22/23: | Total 22/23: | nan | 1 | - | - | 1 | - | - | 54',Total 22/23:,nan,1,-,-,1,-,-,54',,54.0,1.0
866910,igor,2020,20/21,Total 20/21: | Total 20/21: | nan | 2 | - | - | - | - | - | 87',Total 20/21:,nan,2,-,-,-,-,-,87',,87.0,2.0
866910,igor,2019,19/20,Total 19/20: | Total 19/20: | nan | 4 | - | - | - | - | - | 253',Total 19/20:,nan,4,-,-,-,-,-,253',,253.0,4.0
866892,rodrigo,2020,20/21,Total 20/21: | Total 20/21: | nan | 2 | - | - | - | - | - | 24',Total 20/21:,nan,2,-,-,-,-,-,24',,24.0,2.0
14881,marcelo-carne,2025,25/26,Total 2026: | Total 2026: | nan | 9 | - | - | - | - | 13 | 3 | 810',Total 2026:,nan,9,-,-,-,-,13,3,810',810.0,9.0
